ID	COST_1	SIZE_1	STORAGE_1	CAM_1	COST_2	SIZE_2	STORAGE_2	CAM_2	COST_3	SIZE_3	STORAGE_3	CAM_3	CHOICE	GENDER	INC	AVAIL_1	AVAIL_2	AVAIL_3
1	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	2	1	1	1
1	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
1	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	2	1	1	1
1	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	2	1	1	1
1	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
1	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
1	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
1	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	2	1	1	1
1	700	6	128	3	700	6.2	128	3	400	6.2	32	1	2	0	2	1	1	1
1	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
2	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
2	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
2	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	1	1	1	1
2	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	1	1	1	1
2	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	0	1	1	1	1
2	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
2	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
2	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
2	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
2	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	1	1	1	1
3	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
3	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
3	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	1	1	1	1
3	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	1	1	1	1
3	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	1	1	1	1
3	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
3	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
3	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
3	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
3	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	0	1	1	1	1
4	500	6.4	256	1	400	5.8	32	4	600	6	64	2	1	0	3	1	1	1
4	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	3	1	1	1
4	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	3	1	1	1
4	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	3	1	1	1
4	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	0	3	1	1	1
4	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	3	1	1	1
4	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	3	1	1	1
4	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	3	1	1	1
4	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	3	1	1	1
4	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	3	1	1	1
5	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	1	1	1	1
5	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
5	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	1	1	1	1
5	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	1	1	1	1
5	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	1	1	1	1
5	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
5	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
5	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	0	1	1	1	1
5	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
5	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	1	1	1	1
6	500	6.4	256	1	400	5.8	32	4	600	6	64	2	1	0	1	1	1	1
6	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
6	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	1	1	1	1
6	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	0	1	1	1	1
6	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	1	1	1	1
6	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
6	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
6	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	1	1	1	1
6	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
6	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	0	1	1	1	1
7	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	2	1	1	1
7	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
7	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	2	1	1	1
7	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	2	1	1	1
7	700	6	64	2	400	5.8	256	1	600	6.4	32	4	1	0	2	1	1	1
7	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
7	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
7	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	2	1	1	1
7	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	2	1	1	1
7	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
8	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	2	1	1	1
8	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	2	1	1	1
8	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	2	1	1	1
8	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	2	1	1	1
8	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	2	1	1	1
8	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	2	1	1	1
8	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	2	1	1	1
8	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	1	2	1	1	1
8	700	6	128	3	700	6.2	128	3	400	6.2	32	1	1	1	2	1	1	1
8	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	2	1	1	1
9	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	2	1	1	1
9	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	2	1	1	1
9	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	2	1	1	1
9	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	2	1	1	1
9	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	2	1	1	1
9	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	2	1	1	1
9	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	2	1	1	1
9	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	2	1	1	1
9	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	2	1	1	1
9	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	2	1	1	1
