ID	ID2	STORES1	TRANSPORT1	CITY1	NOISE1	GREEN1	FOREIGN1	STORES2	TRANSPORT2	CITY2	NOISE2	GREEN2	FOREIGN2	STORES3	TRANSPORT3	CITY3	NOISE3	GREEN3	FOREIGN3	CHOICE	SSTADT	RESPCITY	WOMAN	AGE	ENVCONC	COMPLETE
2	5	10	5	1	2	2	0.4	15	10	2	3	3	0.1	2	15	4	4	4	0.2	1	3	3	0	42	3	1
2	6	15	5	4	4	1	0.1	2	10	5	1	2	0.2	5	15	1	2	3	0.3	2	3	3	0	42	3	1
2	7	10	15	1	3	1	0.4	15	2	2	4	2	0.1	2	5	4	1	3	0.2	3	3	3	0	42	3	1
2	8	15	15	5	4	4	0.4	2	2	1	1	1	0.1	5	5	2	2	2	0.2	2	3	3	0	42	3	1
3	9	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	2	2	1	41	4.5	1
3	10	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	2	2	1	41	4.5	1
3	11	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	3	2	2	1	41	4.5	1
3	12	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	1	2	2	1	41	4.5	1
5	17	2	2	1	1	1	0.1	5	5	2	2	2	0.2	10	10	4	3	3	0.3	2	4	4	0	58	3	1
5	18	5	10	5	3	3	0.1	10	15	1	4	4	0.2	15	2	2	1	1	0.3	1	4	4	0	58	3	1
5	19	2	5	4	3	4	0.3	5	10	5	4	1	0.4	10	15	1	1	2	0.1	3	4	4	0	58	3	1
5	20	10	15	2	2	3	0.1	15	2	4	3	4	0.2	2	5	5	4	1	0.3	2	4	4	0	58	3	1
13	49	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	3	4	4	0	34	2.833333254	1
13	50	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	3	4	4	0	34	2.833333254	1
13	51	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	1	4	4	0	34	2.833333254	1
13	52	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	3	4	4	0	34	2.833333254	1
14	53	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	3	3	1	43	2.833333254	1
14	54	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	2	3	3	1	43	2.833333254	1
14	55	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	3	3	1	43	2.833333254	1
14	56	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	3	3	3	1	43	2.833333254	1
19	73	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	4	4	1	28	4.5	1
19	74	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	3	4	4	1	28	4.5	1
19	75	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	1	4	4	1	28	4.5	1
19	76	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	2	4	4	1	28	4.5	1
21	81	10	10	4	1	4	0.2	15	15	5	2	1	0.3	2	2	1	3	2	0.4	1	3	3	1	46	2.833333254	1
21	82	10	10	5	4	2	0.3	15	15	1	1	3	0.4	2	2	2	2	4	0.1	3	3	3	1	46	2.833333254	1
21	83	5	2	4	3	2	0.4	10	5	5	4	3	0.1	15	10	1	1	4	0.2	3	3	3	1	46	2.833333254	1
21	84	2	10	1	4	2	0.1	5	15	2	1	3	0.2	10	2	4	2	4	0.3	3	3	3	1	46	2.833333254	1
24	93	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	1	1	1	1	52	2.333333254	1
24	94	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	1	1	1	52	2.333333254	1
24	95	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	2	1	1	1	52	2.333333254	1
24	96	5	10	4	2	1	0.4	10	15	5	3	2	0.1	15	2	1	4	3	0.2	1	1	1	1	52	2.333333254	1
25	97	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	3	2	2	1	41	3.5	1
25	98	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	2	2	2	1	41	3.5	1
25	99	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	2	2	2	1	41	3.5	1
25	100	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	3	2	2	1	41	3.5	1
27	105	15	5	5	1	3	0.4	2	10	1	2	4	0.1	5	15	2	3	1	0.2	2	2	2	1	59	4.5	1
27	106	5	15	1	4	4	0.2	10	2	2	1	1	0.3	15	5	4	2	2	0.4	2	2	2	1	59	4.5	1
27	107	15	2	2	3	2	0.2	2	5	4	4	3	0.3	5	10	5	1	4	0.4	1	2	2	1	59	4.5	1
27	108	10	2	5	1	1	0.3	15	5	1	2	2	0.4	2	10	2	3	3	0.1	3	2	2	1	59	4.5	1
28	109	5	15	2	1	2	0.3	10	2	4	2	3	0.4	15	5	5	3	4	0.1	2	1	1	0	69	2.333333254	1
28	110	2	15	4	2	3	0.3	5	2	5	3	4	0.4	10	5	1	4	1	0.1	1	1	1	0	69	2.333333254	1
28	111	5	5	1	1	3	0.2	10	10	2	2	4	0.3	15	15	4	3	1	0.4	2	1	1	0	69	2.333333254	1
28	112	15	15	4	1	2	0.1	2	2	5	2	3	0.2	5	5	1	3	4	0.3	3	1	1	0	69	2.333333254	1
34	133	15	10	2	2	1	0.2	2	15	4	3	2	0.3	5	2	5	4	3	0.4	2	3	3	0	31	3.833333254	1
34	134	15	2	1	2	4	0.3	2	5	2	3	1	0.4	5	10	4	4	2	0.1	1	3	3	0	31	3.833333254	1
34	135	2	10	2	1	4	0.4	5	15	4	2	1	0.1	10	2	5	3	2	0.2	1	3	3	0	31	3.833333254	1
